name	totalFrame	indx
E1	1	0
E10	1	1
E11	1	2
E12	1	3
E13	1	4
E14	1	5
E15	1	6
E16	1	7
E17	1	8
E18	1	9
E19	1	10
E2	1	11
E20	1	12
E21	1	13
E22	1	14
E23	1	15
E24	1	16
E25	1	17
E26	1	18
E27	1	19
E28	1	20
E29	1	21
E3	1	22
E30	1	23
E31	1	24
E32	1	25
E33	1	26
E34	1	27
E35	1	28
E36	1	29
E37	1	30
E38	1	31
E39	1	32
E4	1	33
E40	1	34
E41	1	35
E42	1	36
E43	1	37
E44	1	38
E45	1	39
E46	1	40
E47	1	41
E48	1	42
E49	1	43
E5	1	44
E50	1	45
E51	1	46
E52	1	47
E53	1	48
E54	1	49
E55	1	50
E56	1	51
E57	1	52
E58	1	53
E59	1	54
E6	1	55
E60	1	56
E61	1	57
E62	1	58
E63	1	59
E64	1	60
E65	1	61
E66	1	62
E67	1	63
E68	1	64
E69	1	65
E7	1	66
E70	1	67
E71	1	68
E72	1	69
E73	1	70
E74	1	71
E75	1	72
E76	1	73
E77	1	74
E78	1	75
E79	1	76
E8	1	77
E80	1	78
E81	3	79
E9	1	82
EHorn	1	83
